"Title";"Directors";"País";"Año";"Género";"Actores";"UserRating";"FArating";"NúmeroVotos"
"Green Book ";"Peter Farrelly";"United States";"2018";"Drama";"Viggo Mortensen";"7";"7.6";"38,217 "
"Green Book ";"Peter Farrelly";"United States";"2018";"Drama";"Mahershala Ali";"7";"7.6";"38,217 "
"Green Book ";"Peter Farrelly";"United States";"2018";"Drama";"Iqbal Theba";"7";"7.6";"38,217 "
"Green Book ";"Peter Farrelly";"United States";"2018";"Drama";"Linda Cardellini";"7";"7.6";"38,217 "
"Green Book ";"Peter Farrelly";"United States";"2018";"Drama";"Ricky Muse";"7";"7.6";"38,217 "
"Green Book ";"Peter Farrelly";"United States";"2018";"Drama";"David Kallaway";"7";"7.6";"38,217 "
"Green Book ";"Peter Farrelly";"United States";"2018";"Drama";"Montrel Miller";"7";"7.6";"38,217 "
"Green Book ";"Peter Farrelly";"United States";"2018";"Drama";"Harrison Stone";"7";"7.6";"38,217 "
"Green Book ";"Peter Farrelly";"United States";"2018";"Drama";"Mike Young";"7";"7.6";"38,217 "
"Green Book ";"Peter Farrelly";"United States";"2018";"Drama";"Jon Michael Davis";"7";"7.6";"38,217 "
"The Occupant ";"Àlex Pastor";"Spain";"2020";"Thriller";"Javier Gutiérrez";"5";"5.9";"12,735 "
"The Occupant ";"Àlex Pastor";"Spain";"2020";"Thriller";"Mario Casas";"5";"5.9";"12,735 "
"The Occupant ";"Àlex Pastor";"Spain";"2020";"Thriller";"Bruna Cusí";"5";"5.9";"12,735 "
"The Occupant ";"Àlex Pastor";"Spain";"2020";"Thriller";"Ruth Díaz";"5";"5.9";"12,735 "
"The Occupant ";"Àlex Pastor";"Spain";"2020";"Thriller";"David Ramírez";"5";"5.9";"12,735 "
"The Occupant ";"Àlex Pastor";"Spain";"2020";"Thriller";"David Selvas";"5";"5.9";"12,735 "
"The Occupant ";"Àlex Pastor";"Spain";"2020";"Thriller";"David Verdaguer";"5";"5.9";"12,735 "
"The Occupant ";"Àlex Pastor";"Spain";"2020";"Thriller";"Vicky Luengo";"5";"5.9";"12,735 "
"The Occupant ";"Àlex Pastor";"Spain";"2020";"Thriller";"Ernesto Collado";"5";"5.9";"12,735 "
"The Occupant ";"Àlex Pastor";"Spain";"2020";"Thriller";"Mireia Rey";"5";"5.9";"12,735 "
"The Usual Suspects ";"Bryan Singer";"United States";"1995";"Thriller";"Kevin Spacey";"9";"8.0";"82,467 "
"The Usual Suspects ";"Bryan Singer";"United States";"1995";"Thriller";"Gabriel Byrne";"9";"8.0";"82,467 "
"The Usual Suspects ";"Bryan Singer";"United States";"1995";"Thriller";"Chazz Palminteri";"9";"8.0";"82,467 "
"The Usual Suspects ";"Bryan Singer";"United States";"1995";"Thriller";"Benicio del Toro";"9";"8.0";"82,467 "
"The Usual Suspects ";"Bryan Singer";"United States";"1995";"Thriller";"Stephen Baldwin";"9";"8.0";"82,467 "
"The Usual Suspects ";"Bryan Singer";"United States";"1995";"Thriller";"Pete Postlethwaite";"9";"8.0";"82,467 "
"The Usual Suspects ";"Bryan Singer";"United States";"1995";"Thriller";"Giancarlo Esposito";"9";"8.0";"82,467 "
"The Usual Suspects ";"Bryan Singer";"United States";"1995";"Thriller";"Dan Hedaya";"9";"8.0";"82,467 "
"The Usual Suspects ";"Bryan Singer";"United States";"1995";"Thriller";"Suzy Amis";"9";"8.0";"82,467 "
"The Usual Suspects ";"Bryan Singer";"United States";"1995";"Thriller";"Frank Medrano";"9";"8.0";"82,467 "
"The Platform ";"Galder Gaztelu-Urrutia";"Spain";"2019";"Sci-Fi";"Ivan Massagué";"6";"6.4";"31,578 "
"The Platform ";"Galder Gaztelu-Urrutia";"Spain";"2019";"Sci-Fi";"Zorion Eguileor";"6";"6.4";"31,578 "
"The Platform ";"Galder Gaztelu-Urrutia";"Spain";"2019";"Sci-Fi";"Antonia San Juan";"6";"6.4";"31,578 "
"The Platform ";"Galder Gaztelu-Urrutia";"Spain";"2019";"Sci-Fi";"Emilio Buale";"6";"6.4";"31,578 "
"The Platform ";"Galder Gaztelu-Urrutia";"Spain";"2019";"Sci-Fi";"Alexandra Masangkay";"6";"6.4";"31,578 "
"The Platform ";"Galder Gaztelu-Urrutia";"Spain";"2019";"Sci-Fi";"Eric Goode";"6";"6.4";"31,578 "
"The Platform ";"Galder Gaztelu-Urrutia";"Spain";"2019";"Sci-Fi";"Algis Arlauskas";"6";"6.4";"31,578 "
"The Platform ";"Galder Gaztelu-Urrutia";"Spain";"2019";"Sci-Fi";"Miriam Martín";"6";"6.4";"31,578 "
"The Platform ";"Galder Gaztelu-Urrutia";"Spain";"2019";"Sci-Fi";"Óscar Oliver";"6";"6.4";"31,578 "
"Snowden ";"Oliver Stone";"United States";"2016";"Thriller";"Joseph Gordon-Levitt";"6";"6.4";"9,458 "
"Snowden ";"Oliver Stone";"United States";"2016";"Thriller";"Shailene Woodley";"6";"6.4";"9,458 "
"Snowden ";"Oliver Stone";"United States";"2016";"Thriller";"Melissa Leo";"6";"6.4";"9,458 "
"Snowden ";"Oliver Stone";"United States";"2016";"Thriller";"Zachary Quinto";"6";"6.4";"9,458 "
"Snowden ";"Oliver Stone";"United States";"2016";"Thriller";"Tom Wilkinson";"6";"6.4";"9,458 "
"Snowden ";"Oliver Stone";"United States";"2016";"Thriller";"Rhys Ifans";"6";"6.4";"9,458 "
"Snowden ";"Oliver Stone";"United States";"2016";"Thriller";"Nicolas Cage";"6";"6.4";"9,458 "
"Snowden ";"Oliver Stone";"United States";"2016";"Thriller";"Logan Marshall-Green";"6";"6.4";"9,458 "
"Snowden ";"Oliver Stone";"United States";"2016";"Thriller";"Timothy Olyphant";"6";"6.4";"9,458 "
"Snowden ";"Oliver Stone";"United States";"2016";"Thriller";"Scott Eastwood";"6";"6.4";"9,458 "
"Joker ";"Todd Phillips";"United States";"2019";"Thriller";"Joaquin Phoenix";"8";"8.0";"57,907 "
"Joker ";"Todd Phillips";"United States";"2019";"Thriller";"Robert De Niro";"8";"8.0";"57,907 "
"Joker ";"Todd Phillips";"United States";"2019";"Thriller";"Zazie Beetz";"8";"8.0";"57,907 "
"Joker ";"Todd Phillips";"United States";"2019";"Thriller";"Frances Conroy";"8";"8.0";"57,907 "
"Joker ";"Todd Phillips";"United States";"2019";"Thriller";"Brett Cullen";"8";"8.0";"57,907 "
"Joker ";"Todd Phillips";"United States";"2019";"Thriller";"Bill Camp";"8";"8.0";"57,907 "
"Joker ";"Todd Phillips";"United States";"2019";"Thriller";"Shea Whigham";"8";"8.0";"57,907 "
"Joker ";"Todd Phillips";"United States";"2019";"Thriller";"Dante Pereira-Olson";"8";"8.0";"57,907 "
"Joker ";"Todd Phillips";"United States";"2019";"Thriller";"Douglas Hodge";"8";"8.0";"57,907 "
"Joker ";"Todd Phillips";"United States";"2019";"Thriller";"Jolie Chan";"8";"8.0";"57,907 "
"Django Unchained ";"Quentin Tarantino";"United States";"2012";"Western";"Jamie Foxx";"8";"7.9";"111,665 "
"Django Unchained ";"Quentin Tarantino";"United States";"2012";"Western";"Christoph Waltz";"8";"7.9";"111,665 "
"Django Unchained ";"Quentin Tarantino";"United States";"2012";"Western";"Leonardo DiCaprio";"8";"7.9";"111,665 "
"Django Unchained ";"Quentin Tarantino";"United States";"2012";"Western";"Kerry Washington";"8";"7.9";"111,665 "
"Django Unchained ";"Quentin Tarantino";"United States";"2012";"Western";"Samuel L. Jackson";"8";"7.9";"111,665 "
"Django Unchained ";"Quentin Tarantino";"United States";"2012";"Western";"Don Johnson";"8";"7.9";"111,665 "
"Django Unchained ";"Quentin Tarantino";"United States";"2012";"Western";"Walton Goggins";"8";"7.9";"111,665 "
"Django Unchained ";"Quentin Tarantino";"United States";"2012";"Western";"Laura Cayouette";"8";"7.9";"111,665 "
"Django Unchained ";"Quentin Tarantino";"United States";"2012";"Western";"Dennis Christopher";"8";"7.9";"111,665 "
"Django Unchained ";"Quentin Tarantino";"United States";"2012";"Western";"M.C. Gainey";"8";"7.9";"111,665 "
"American Gangster ";"Ridley Scott";"United States";"2007";"Thriller";"Denzel Washington";"7";"7.6";"73,997 "
"American Gangster ";"Ridley Scott";"United States";"2007";"Thriller";"Russell Crowe";"7";"7.6";"73,997 "
"American Gangster ";"Ridley Scott";"United States";"2007";"Thriller";"Carla Gugino";"7";"7.6";"73,997 "
"American Gangster ";"Ridley Scott";"United States";"2007";"Thriller";"Cuba Gooding Jr.";"7";"7.6";"73,997 "
"American Gangster ";"Ridley Scott";"United States";"2007";"Thriller";"Josh Brolin";"7";"7.6";"73,997 "
